design,split,repeat,model,learner,alpha,n_features,mae,rmse,r2,representation,inner_oof_rmse,raw_mae,raw_rmse,raw_r2
one_lag,grouped,4,M3_history_vc_rf,rf,0.5,4,27.837859390223862,43.59864368038069,0.818075745182415,vc,46.47381604359395,30.6091467609832,44.39025258896924,0.8114094707286084
one_lag,grouped,4,M3_history_vc_gb,gb,0.5,4,29.57987920968751,46.26107446814427,0.7951782473999591,vc,46.778374974535915,34.002616349808974,49.119852858860064,0.7690814822085343
one_lag,grouped,4,M4_history_env_compact_vc_rf,rf,0.4,12,28.893687314964716,43.02706723538876,0.8228145168321681,compact_vc,46.35365837380514,35.7404397416831,45.61025590333659,0.8009007313731316
one_lag,grouped,4,M4_history_env_compact_vc_gb,gb,0.4,12,29.117613277905175,45.05252990001503,0.8057401656903159,compact_vc,46.64760093401473,35.856690946935935,49.09864452912336,0.7692808451347543
one_lag,grouped,4,M5_history_env_full_rf,rf,0.4,21,29.46530852255424,42.67443148293899,0.8257069238417395,full,46.719926428234324,37.84101965019189,45.73700977958101,0.799792573980029
one_lag,grouped,4,M5_history_env_full_gb,gb,0.4,21,29.365735581007844,44.88727740631363,0.8071626406216033,full,46.93214575190552,36.81696069234467,49.49231983798427,0.7655661777006918
one_lag,grouped,4,M6_history_env_full_vc_rf,rf,0.4,24,29.118312475077634,42.89931070245191,0.8238651576505708,full_vc,46.365897752967,35.691718884119055,45.40034043108377,0.8027291728197784
one_lag,grouped,4,M6_history_env_full_vc_gb,gb,0.4,24,29.207261890697794,44.73100539540518,0.8085030037287004,full_vc,46.77488513746532,36.23624970405943,48.47674665031821,0.7750885431133856
one_lag,grouped,5,M0_persistence,baseline,,1,22.374642857142856,33.37316613474278,0.8731943434531577,,,,,
one_lag,grouped,5,M1_history_rf,rf,0.4,1,23.671942537188873,32.83432920101564,0.8772560479226179,history,50.861926634339326,28.751625747235533,36.20591265605093,0.850753964039169
one_lag,grouped,5,M1_history_gb,gb,0.45,1,22.94394499664352,33.20176789717387,0.8744934982548827,history,50.67460748544503,25.931447392971855,35.193477829206735,0.8589840692398303
one_lag,grouped,5,M2_history_env_compact_rf,rf,0.45,9,23.988216406528633,32.465137235369184,0.8800008161647562,compact,49.164926451267945,29.737374351939632,37.45245805670532,0.8403001681786237
one_lag,grouped,5,M2_history_env_compact_gb,gb,0.4,9,21.83488358300495,31.098281870325625,0.8898925772415882,compact,50.48776586968525,29.23126773194111,40.43336345407826,0.8138669278479177
one_lag,grouped,5,M3_history_vc_rf,rf,0.45,4,26.021743881624612,33.95266032410159,0.8687523840497787,vc,49.128938459254115,35.49307042609627,41.83996508003269,0.8006912190064818
one_lag,grouped,5,M3_history_vc_gb,gb,0.35000000000000003,4,22.375751988068572,32.47338587613851,0.8799398303817996,vc,50.913111151741084,28.243396286469906,35.16612100267081,0.8592032149014277
one_lag,grouped,5,M4_history_env_compact_vc_rf,rf,0.45,12,24.294760986928186,32.74480004506004,0.8779245056408442,compact_vc,49.30229008934739,31.201069670943856,38.39300584149146,0.8321783309207145
one_lag,grouped,5,M4_history_env_compact_vc_gb,gb,0.30000000000000004,12,21.753473149603824,30.743459636160452,0.8923908298147444,compact_vc,50.95730368840058,29.304089992717056,39.467077996875894,0.8226571212050429
one_lag,grouped,5,M5_history_env_full_rf,rf,0.45,21,24.80401412654808,32.85170071528674,0.8771261343585692,full,48.96040787828297,30.928790397278807,37.84020509085923,0.8369762911397033
one_lag,grouped,5,M5_history_env_full_gb,gb,0.35000000000000003,21,23.110410561713593,31.638431287235868,0.8860344239447406,full,50.75125618091588,25.563181281998673,35.43324719280338,0.8570560713018274
one_lag,grouped,5,M6_history_env_full_vc_rf,rf,0.45,24,24.91354060097606,32.838013697184486,0.8772284990122717,full_vc,49.26045418771898,31.727430856592434,38.481570143003985,0.8314031818311066
one_lag,grouped,5,M6_history_env_full_vc_gb,gb,0.30000000000000004,24,22.833209530440286,31.420472161518003,0.8875992471497981,full_vc,51.076991541890564,25.665263826854574,34.60602042544531,0.8636525168397989
one_lag,grouped,6,M0_persistence,baseline,,1,23.422142857142855,35.17693755451554,0.8684839485457149,,,,,
one_lag,grouped,6,M1_history_rf,rf,0.35000000000000003,1,23.713422543725702,33.74210135821826,0.8789939854821633,history,50.64189820806803,25.790369114838935,34.3976307031005,0.874246591608208
one_lag,grouped,6,M1_history_gb,gb,0.45,1,23.077201800088687,33.55622802585065,0.8803234724187107,history,50.30992930975299,25.07958511612867,33.15418953243016,0.883173991822908
one_lag,grouped,6,M2_history_env_compact_rf,rf,0.35000000000000003,9,23.597655079303454,32.652105242736745,0.8866856058632158,compact,49.83480672513759,26.680688006784056,34.996750359492,0.8698278299099147
one_lag,grouped,6,M2_history_env_compact_gb,gb,0.35000000000000003,9,23.575353037540356,33.2633215943853,0.882403624835092,compact,50.354243419628574,33.23104922483395,44.12728491947166,0.7930444300084404
one_lag,grouped,6,M3_history_vc_rf,rf,0.4,4,22.83453927145146,32.25542050294543,0.889422155020305,vc,49.21907646860594,26.298750930131593,34.48011045208851,0.873642797414492
one_lag,grouped,6,M3_history_vc_gb,gb,0.45,4,22.442155732283993,32.39164048985072,0.8884862057164039,vc,50.021827748319,24.255601507661222,31.40055996151658,0.8952057409034032
one_lag,grouped,6,M4_history_env_compact_vc_rf,rf,0.35000000000000003,12,23.737493322145856,32.646722272190445,0.8867229644201865,compact_vc,49.73072753851005,27.58282790121075,35.14498480624237,0.8687227635769283
one_lag,grouped,6,M4_history_env_compact_vc_gb,gb,0.35000000000000003,12,23.47583425474804,32.769999240285394,0.8858658606108127,compact_vc,50.2432095407577,32.130422485130204,42.75153081104204,0.8057477552240748
one_lag,grouped,6,M5_history_env_full_rf,rf,0.30000000000000004,21,24.13078053576295,33.286748107737836,0.8822379262208521,full,49.84868777748768,29.33602048980512,36.2278321696681,0.8605086105893949
one_lag,grouped,6,M5_history_env_full_gb,gb,0.30000000000000004,21,24.304989688544502,33.369571542603055,0.8816511705786944,full,50.69034382848372,30.821771138060594,41.79045454774541,0.8143833648036339
one_lag,grouped,6,M6_history_env_full_vc_rf,rf,0.35000000000000003,24,24.0766078279334,33.16476340282957,0.8830994612688596,full_vc,49.982459981979424,28.65679245799688,35.606346137881644,0.8652534902926714
one_lag,grouped,6,M6_history_env_full_vc_gb,gb,0.30000000000000004,24,24.27336362800283,33.45182210562268,0.8810670303525688,full_vc,50.63910307519481,29.574364104362278,41.16174685784325,0.8199262948042069
one_lag,grouped,7,M0_persistence,baseline,,1,13.53392857142857,25.282381428858432,0.9135486732491246,,,,,
one_lag,grouped,7,M1_history_rf,rf,0.55,1,19.720605833611536,27.858258962788923,0.8950352086707849,history,50.74622856496146,25.56964047669631,33.07926029436173,0.8520049181067264
one_lag,grouped,7,M1_history_gb,gb,0.7000000000000001,1,21.149427558578022,30.29242675933818,0.8758908396369104,history,49.443252460211156,24.839936199441944,33.87159119975761,0.8448303063400351
one_lag,grouped,7,M2_history_env_compact_rf,rf,0.5,9,18.009048674681917,24.02030658412987,0.9219643958718948,compact,49.789747805426074,23.51772698854213,28.536154144846087,0.889864687352627
one_lag,grouped,7,M2_history_env_compact_gb,gb,0.55,9,21.667994050406183,28.175377671236895,0.8926319175719659,compact,49.151157075804335,32.967459110273175,39.45584233614824,0.7894484982183105
one_lag,grouped,7,M3_history_vc_rf,rf,0.6000000000000001,4,19.973242706088193,27.501234183528783,0.8977083761495723,vc,49.660838122450414,25.76373784348031,32.06461029472753,0.8609446711757057
one_lag,grouped,7,M3_history_vc_gb,gb,0.6000000000000001,4,21.444156874464728,29.324978904473802,0.8836915893461074,vc,49.18237286617807,28.149347890529054,34.80540780624629,0.8361565222618454
